year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,28.53,12.91,20.72,328.7,253.19,1.94,-0.03,1.94,59.1,,2.28,1.67,0.0,0.53,5.31,72.95,201.08,517.38
1980,1,2,0.0,27.53,13.43,20.48,327.9,248.44,0.66,-0.51,0.83,56.64,,2.04,1.21,0.0,0.5,5.16,72.83,200.81,517.36
1980,1,3,0.03,26.42,12.46,19.44,331.33,227.52,-0.41,-2.23,2.27,44.19,,1.92,1.13,0.0,0.53,5.02,72.7,200.55,517.33
1980,1,4,0.16,26.25,12.72,19.48,351.16,178.86,-1.77,0.11,1.77,83.05,,1.85,1.19,0.17,0.38,5.19,72.6,200.32,517.32
1980,1,5,1.76,23.15,13.94,18.54,369.9,79.27,-1.89,-0.91,2.1,91.89,,1.05,0.87,1.07,0.06,7.91,72.59,200.29,517.32
1980,1,6,0.85,21.12,13.02,17.07,350.66,163.42,-1.31,-0.21,1.33,78.86,,1.65,1.46,0.67,0.34,9.82,72.52,200.15,517.3
1980,1,7,0.0,22.11,11.48,16.8,331.18,235.18,-0.83,0.2,0.85,59.33,,2.12,1.98,0.01,0.71,9.49,72.4,199.89,517.28
1980,1,8,0.0,25.3,12.33,18.82,332.64,254.84,0.06,-0.34,0.35,62.51,,2.08,1.72,0.0,0.75,9.08,72.28,199.63,517.25
1980,1,9,0.0,27.43,13.22,20.32,354.87,234.73,0.22,0.5,0.55,55.73,,1.83,1.35,0.01,0.76,8.68,72.17,199.39,517.23
1980,1,10,0.0,28.09,14.75,21.42,365.83,244.56,0.66,0.78,1.02,56.4,,1.9,1.26,0.01,0.72,8.31,72.06,199.13,517.21
1980,1,11,0.0,28.78,14.87,21.82,361.42,231.26,0.33,1.48,1.52,51.07,,2.41,1.41,0.02,0.71,7.97,71.94,198.88,517.19
1980,1,12,0.0,29.51,16.52,23.02,346.82,224.28,1.29,-0.64,1.44,57.65,,2.27,1.22,0.0,0.66,7.64,71.82,198.61,517.17
1980,1,13,0.0,28.28,14.95,21.62,341.32,235.71,0.36,0.32,0.48,54.37,,2.12,1.09,0.05,0.68,7.35,71.71,198.37,517.15
1980,1,14,0.0,28.72,14.81,21.76,349.54,248.73,-0.24,0.14,0.28,51.41,,2.29,1.2,0.0,0.63,7.06,71.61,198.15,517.14
1980,1,15,0.0,29.18,15.47,22.32,356.44,251.52,-0.59,2.76,2.82,45.3,,2.43,1.17,0.0,0.62,6.77,71.51,197.9,517.1
1980,1,16,0.0,29.43,14.96,22.2,347.93,260.32,0.37,1.87,1.91,49.01,,2.46,1.15,0.0,0.61,6.48,71.4,197.67,517.06
1980,1,17,0.0,29.92,15.25,22.58,349.67,261.15,0.17,1.9,1.91,47.3,,2.46,1.11,0.01,0.58,6.23,71.31,197.43,517.03
1980,1,18,0.0,30.45,15.8,23.12,358.29,260.93,-0.23,2.19,2.2,47.46,,2.5,1.09,0.01,0.56,5.98,71.21,197.2,517.02
1980,1,19,0.0,30.34,15.73,23.04,359.38,261.59,0.22,1.28,1.3,56.22,,2.38,1.0,0.01,0.51,5.74,71.12,196.98,517.0
1980,1,20,0.0,30.5,15.74,23.12,359.64,259.72,0.82,1.12,1.39,47.18,,2.33,0.95,0.01,0.53,5.52,71.03,196.78,516.97
1980,1,21,0.0,31.19,15.78,23.48,348.92,262.17,1.71,-0.64,1.83,49.5,,2.39,0.94,0.01,0.52,5.3,70.95,196.57,516.96
1980,1,22,0.0,30.82,15.28,23.05,328.18,266.16,1.9,-1.18,2.24,43.17,,2.37,0.9,0.0,0.53,5.11,70.86,196.36,516.93
1980,1,23,0.0,29.92,13.7,21.81,306.63,275.09,-0.22,-2.21,2.22,40.21,,2.37,0.87,0.0,0.54,4.94,70.76,196.12,516.91
1980,1,24,0.0,27.41,11.12,19.26,310.23,278.18,0.17,0.09,0.19,30.99,,2.38,1.07,0.0,0.52,4.76,70.67,195.9,516.87
1980,1,25,0.0,28.79,12.32,20.56,326.63,277.04,0.07,1.07,1.07,41.59,,2.51,0.98,0.0,0.48,4.57,70.59,195.7,516.85
1980,1,26,0.0,30.18,13.63,21.9,338.94,276.19,0.46,0.55,0.72,46.87,,2.57,0.89,0.0,0.46,4.39,70.51,195.52,516.83
1980,1,27,0.0,31.05,14.62,22.84,323.72,279.4,2.19,-0.63,2.28,43.28,,2.51,0.83,0.0,0.48,4.24,70.43,195.3,516.79
1980,1,28,0.0,29.83,14.57,22.2,316.81,281.15,2.19,-1.4,2.6,50.05,,2.46,0.79,0.0,0.49,4.12,70.34,195.09,516.77
1980,1,29,0.0,28.5,12.44,20.47,295.4,289.3,0.32,-1.9,1.93,42.65,,2.38,0.74,0.0,0.49,4.0,70.25,194.85,516.75
1980,1,30,0.0,27.02,10.91,18.96,288.12,292.82,0.07,-1.27,1.27,29.57,,2.37,0.86,0.0,0.48,3.88,70.16,194.64,516.73
1980,1,31,0.0,27.2,10.9,19.05,306.49,289.99,-0.83,0.22,0.86,25.59,,2.5,0.78,0.0,0.44,3.75,70.09,194.44,516.71
1980,2,1,0.0,28.53,13.24,20.88,342.07,281.46,-0.84,2.68,2.81,39.9,,2.6,0.75,0.11,0.43,3.65,70.01,194.23,516.68
1980,2,2,0.05,30.31,15.19,22.75,338.89,273.24,2.03,1.2,2.36,57.76,,1.99,0.56,0.02,0.44,3.57,69.92,194.02,516.66
1980,2,3,0.0,28.94,15.19,22.06,333.59,284.89,1.73,0.24,1.75,48.41,,2.1,0.57,0.0,0.44,3.47,69.85,193.81,516.64
1980,2,4,0.0,29.08,15.22,22.15,330.92,264.37,1.76,-0.5,1.83,46.03,,2.4,0.64,0.0,0.42,3.39,69.76,193.61,516.6
1980,2,5,0.0,28.72,13.58,21.15,301.13,294.32,1.67,-1.02,1.96,32.61,,2.48,0.64,0.0,0.44,3.3,69.68,193.39,516.58
1980,2,6,0.0,28.88,12.06,20.47,278.9,305.41,-0.2,-2.8,2.81,17.08,,2.47,0.62,0.0,0.47,3.21,69.6,193.18,516.56
1980,2,7,0.0,27.53,10.69,19.11,284.11,307.09,-0.63,-1.66,1.78,20.36,,2.52,0.62,0.0,0.44,3.12,69.52,192.97,516.54
1980,2,8,0.0,27.47,11.44,19.45,302.61,302.92,-0.22,-0.44,0.49,18.24,,2.62,0.62,0.0,0.41,3.04,69.45,192.79,516.52
1980,2,9,0.0,29.33,13.41,21.37,314.85,299.96,0.43,-0.43,0.61,24.82,,2.63,0.61,0.0,0.4,2.95,69.39,192.61,516.49
1980,2,10,0.0,30.92,13.89,22.4,304.6,307.78,-0.67,-1.9,2.01,22.46,,2.69,0.6,0.0,0.42,2.88,69.32,192.42,516.46
1980,2,11,0.0,29.87,12.97,21.42,311.14,306.48,-0.94,-0.28,0.98,22.51,,2.67,0.64,0.0,0.4,2.81,69.26,192.26,516.46
1980,2,12,0.0,30.61,14.31,22.46,328.23,303.13,-0.19,-0.15,0.24,24.66,,2.77,0.61,0.0,0.37,2.74,69.21,192.09,516.45
1980,2,13,0.0,31.37,14.71,23.04,335.71,303.73,-0.25,-0.5,0.56,22.61,,2.83,0.59,0.0,0.36,2.68,69.15,191.94,516.42
1980,2,14,0.0,31.88,15.4,23.64,370.93,273.27,1.03,1.74,2.02,50.37,,2.77,0.83,0.34,0.36,2.92,69.09,191.77,516.37
1980,2,15,1.45,32.88,16.29,24.58,338.38,307.59,1.46,-1.14,1.85,46.0,,2.57,0.87,0.03,0.44,3.66,69.05,191.62,516.34
1980,2,16,0.0,30.88,14.92,22.9,307.09,316.4,0.83,-2.0,2.17,36.93,,2.76,0.74,0.0,0.44,3.53,68.98,191.44,516.32
1980,2,17,0.0,30.6,13.14,21.87,310.1,316.25,-0.06,-1.47,1.47,29.32,,2.84,0.61,0.0,0.43,3.41,68.92,191.27,516.28
1980,2,18,0.0,30.45,13.86,22.16,318.13,317.24,0.37,-0.23,0.44,26.41,,2.9,0.56,0.0,0.41,3.29,68.87,191.12,516.28
1980,2,19,0.0,32.17,15.36,23.76,327.04,316.87,0.77,0.2,0.8,30.04,,2.97,0.56,0.0,0.41,3.16,68.82,190.98,516.26
1980,2,20,0.0,33.39,16.38,24.88,331.03,318.24,-0.44,-1.7,1.76,27.01,,3.0,0.54,0.0,0.39,3.05,68.78,190.83,516.24
1980,2,21,0.0,33.72,17.76,25.74,337.93,319.54,0.89,-0.87,1.24,34.39,,3.05,0.75,0.0,0.36,2.93,68.74,190.71,516.21
1980,2,22,0.0,35.08,17.77,26.42,341.52,320.6,1.11,-1.65,1.99,31.34,,3.1,0.61,0.0,0.36,2.84,68.69,190.58,516.2
1980,2,23,0.0,35.09,17.04,26.06,342.79,320.91,2.5,-1.22,2.78,28.73,,3.14,0.54,0.0,0.35,2.76,68.65,190.45,516.17
1980,2,24,0.0,35.04,17.94,26.49,335.24,324.15,2.0,-1.48,2.49,34.7,,3.1,0.5,0.0,0.36,2.69,68.6,190.3,516.17
1980,2,25,0.0,34.82,16.66,25.74,322.84,329.56,-0.04,-2.46,2.46,20.44,,3.02,0.47,0.0,0.36,2.64,68.56,190.16,516.12
1980,2,26,0.0,33.79,15.66,24.72,316.89,333.59,-0.09,-2.01,2.01,19.91,,3.0,0.45,0.0,0.36,2.6,68.51,190.01,516.1
1980,2,27,0.0,33.7,15.35,24.52,326.51,334.84,0.67,0.24,0.71,24.46,,3.11,0.48,0.0,0.33,2.56,68.47,189.9,516.08
1980,2,28,0.0,35.74,17.54,26.64,327.21,334.2,2.34,-0.91,2.51,32.35,,3.21,0.45,0.0,0.34,2.54,68.43,189.77,516.06
1980,2,29,0.0,35.48,18.93,27.2,345.37,323.47,2.78,-1.12,3.0,28.4,,3.14,0.45,0.14,0.35,2.54,68.38,189.62,516.06
1980,3,1,0.0,34.3,18.74,26.52,328.95,332.6,2.4,-1.41,2.78,30.49,,3.13,0.41,0.0,0.35,2.52,68.33,189.46,516.04
1980,3,2,0.0,32.43,15.81,24.12,311.47,343.17,0.63,-1.35,1.49,22.67,,3.12,0.4,0.0,0.36,2.52,68.28,189.31,516.01
1980,3,3,0.0,33.2,16.22,24.71,339.9,336.32,2.47,-1.71,3.0,25.53,,3.24,0.4,0.0,0.33,2.52,68.24,189.18,515.98
1980,3,4,0.0,35.22,18.45,26.84,342.88,336.89,2.19,-1.78,2.82,32.0,,3.31,0.39,0.0,0.33,2.52,68.2,189.05,515.96
1980,3,5,0.0,35.24,18.57,26.9,351.39,338.72,2.03,0.12,2.03,29.17,,3.33,0.38,0.0,0.31,2.52,68.16,188.95,515.94
1980,3,6,0.0,36.52,19.64,28.08,346.67,339.02,3.3,-0.88,3.42,23.37,,3.25,0.36,0.0,0.33,2.52,68.12,188.8,515.92
1980,3,7,0.0,34.83,17.77,26.3,334.35,343.15,2.18,0.01,2.18,25.9,,3.32,0.36,0.0,0.33,2.52,68.08,188.68,515.91
1980,3,8,0.0,33.81,19.85,26.83,324.98,346.1,3.51,-0.65,3.57,25.05,,3.07,0.4,0.03,0.37,2.55,68.03,188.5,515.88
1980,3,9,0.0,31.29,13.98,22.64,295.72,354.3,1.44,-0.94,1.72,23.01,,3.03,0.33,0.0,0.36,2.53,67.97,188.34,515.85
1980,3,10,0.0,29.59,13.64,21.62,306.76,354.26,0.18,0.08,0.2,23.89,,3.17,0.31,0.0,0.35,2.52,67.93,188.19,515.83
1980,3,11,0.0,31.59,15.08,23.34,324.51,349.43,0.79,1.66,1.84,24.75,,3.2,0.31,0.01,0.33,2.54,67.89,188.07,515.8
1980,3,12,0.08,34.44,16.78,25.61,331.21,340.85,0.09,-1.06,1.06,19.8,,3.18,0.3,0.13,0.33,2.6,67.85,187.94,515.78
1980,3,13,0.0,34.02,19.05,26.54,361.46,322.78,-0.91,-0.62,1.1,16.79,,3.33,0.3,0.24,0.31,2.63,67.81,187.8,515.77
1980,3,14,0.0,34.25,18.98,26.62,358.46,342.38,-0.77,-0.31,0.83,20.75,,3.47,0.41,0.01,0.3,2.6,67.77,187.69,515.73
1980,3,15,0.0,35.2,19.28,27.24,370.89,329.91,0.5,0.58,0.77,22.3,,3.43,0.31,0.03,0.27,2.57,67.74,187.56,515.7
1980,3,16,0.0,36.35,20.94,28.65,369.09,317.8,2.48,-0.38,2.51,29.17,,3.21,0.29,0.24,0.29,2.58,67.7,187.45,515.7
1980,3,17,0.01,36.11,20.43,28.27,370.19,330.62,1.14,0.4,1.21,32.41,,3.07,0.25,0.09,0.3,2.57,67.67,187.33,515.67
